member,label,affinity,modes,elapsed_ms,returncode,ref,fit_rmsd,center,size,smiles,error
result1.csv,t1_4M7,-11.41,"[-11.41, -9.964, -9.895]",17100,0,4ZBF:4M7,0.0,"[-8.42, -3.799, -91.832]","[24.0, 24.0, 24.0]",O=C(O)c1c(CCCOc2cccc3ccccc23)c2cccc3c2n1CCCS3=O,
result1.csv,t1_4M6,-11.27,"[-11.27, -10.53, -10.25]",12506,0,4ZBF:4M7,0.0,"[-8.42, -3.799, -91.832]","[24.0, 24.0, 24.0]",O=C(O)c1c(CCCOc2cccc3ccccc23)c2cccc3c2n1CCC3,
result1.csv,t1_19G,-9.43,"[-9.43, -8.716, -8.302]",10602,0,4ZBF:4M7,0.0,"[-8.42, -3.799, -91.832]","[24.0, 24.0, 24.0]",Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl,
result1.csv,t1_19H,-9.375,"[-9.375, -8.423]",12785,0,4ZBF:4M7,0.0,"[-8.42, -3.799, -91.832]","[24.0, 24.0, 24.0]",Cc1cc(OCCCc2c(C(=O)O)[nH]c3cc(Cl)ccc23)cc(C)c1Cl,
result2.csv,t2_3SM,-8.807,"[-8.807, -8.741, -8.69]",9340,0,4WOV:3SM,0.472,"[12.004, -5.651, 29.063]","[22.0, 22.0, 22.0]",CNc1nc2[nH]c(-c3cccc(CNC(=O)COC)n3)cc2c2c1ncn2C,
result2.csv,t2_2TT,-8.094,"[-8.094, -7.911, -6.898]",5957,0,4WOV:3SM,0.472,"[12.004, -5.651, 29.063]","[22.0, 22.0, 22.0]",O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccccc1Cl,
result2.csv,t2_IK1,-8.126,"[-8.126, -8.125, -8.041]",4996,0,4WOV:3SM,0.472,"[12.004, -5.651, 29.063]","[22.0, 22.0, 22.0]",NC(=O)Nc1sc(-c2ccccc2)cc1C(N)=O,
result3.csv,t3_I7J,-10.59,"[-10.59, -10.46, -10.01]",15885,0,7XZ6:I7J,0.574,"[97.21, 119.192, 85.755]","[24.0, 24.0, 24.0]",CC(C)OC(=O)N1CCC(Oc2ncnc3c2cnn3-c2ccc(S(C)(=O)=O)cc2F)CC1,
result3.csv,t3_8VP,-11.53,"[-11.53, -10.8, -9.785]",13016,0,7XZ6:I7J,0.574,"[97.21, 119.192, 85.755]","[24.0, 24.0, 24.0]",CCc1cnc(N2CCC(c3nc(COc4ccc(-n5cnnn5)cc4)cs3)CC2)nc1,
result3.csv,t3_A1D8Y,-12.68,"[-12.68, -12.31, -10.27]",18690,0,7XZ6:I7J,0.574,"[97.21, 119.192, 85.755]","[24.0, 24.0, 24.0]",CC(C)c1noc(N2CCC(COc3ccc(-c4ccc(S(C)(=O)=O)cc4)nc3)CC2)n1,
result3.csv,t3_A1D8M,-12.39,"[-12.39, -12.0]",22790,0,7XZ6:I7J,0.574,"[97.21, 119.192, 85.755]","[24.0, 24.0, 24.0]",CC[C@@H](Oc1ccc(C(=O)C2CC2)cc1)c1nc(-c2ccc(C(=O)N[C@H](C)CO)c(F)c2)no1,
